fight_date,fighter_red,fighter_blue,winner,red_age,blue_age,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_wins,blue_wins,red_losses,blue_losses,red_sig_str_acc,blue_sig_str_acc,red_takedown_acc,blue_takedown_acc,red_stance,blue_stance,target_red_win,age_diff,age_sum,height_cm_diff,height_cm_sum,reach_cm_diff,reach_cm_sum,wins_diff,wins_sum,losses_diff,losses_sum,sig_str_acc_diff,sig_str_acc_sum,takedown_acc_diff,takedown_acc_sum,red_win_rate,blue_win_rate,win_rate_diff,same_stance,red_stance_Open Stance,red_stance_Orthodox,red_stance_Sideways,red_stance_Southpaw,red_stance_Switch,red_stance_Unknown,blue_stance_Open Stance,blue_stance_Orthodox,blue_stance_Sideways,blue_stance_Southpaw,blue_stance_Switch,blue_stance_Unknown,fight_month,fight_year
2004-06-19,Frank Mir,Tim Sylvia,red,25.07,28.29,190.5,203.2,200.66,203.2,18,31,11,10,0.47,0.41,0.4,1.0,Southpaw,Orthodox,1,-3.219999999999999,53.36,-12.699999999999989,393.7,-2.539999999999992,403.86,-13,49,1,21,0.06,0.8799999999999999,-0.6,1.4,0.6,0.7380952380952381,-0.13809523809523816,0,0,0,0,1,0,0,0,1,0,0,0,0,6,2004
2004-06-19,Trevor Prangley,Curtis Stout,red,31.82,30.61,185.42,185.42,190.5,,34,11,11,12,0.6,0.67,0.55,0.0,Orthodox,Southpaw,1,1.2100000000000009,62.43,0.0,370.84,,,23,45,-1,23,-0.07000000000000006,1.27,0.55,0.55,0.7391304347826086,0.4583333333333333,0.28079710144927533,0,0,1,0,0,0,0,0,0,0,1,0,0,6,2004
2004-06-19,Matt Serra,Ivan Menjivar,red,30.05,22.06,167.64,167.64,172.72,162.56,11,25,7,12,0.39,0.37,0.2,0.28,Orthodox,Orthodox,1,7.990000000000002,52.11,0.0,335.28,10.159999999999997,335.28,-14,36,-5,19,0.020000000000000018,0.76,-0.08000000000000002,0.48000000000000004,0.5789473684210527,0.6578947368421053,-0.07894736842105265,1,0,1,0,0,0,0,0,1,0,0,0,0,6,2004
2004-06-19,Georges St-Pierre,Jay Hieron,red,23.09,27.89,180.34,182.88,193.04,190.5,26,23,2,7,0.53,0.32,0.74,0.6,Orthodox,Orthodox,1,-4.800000000000001,50.980000000000004,-2.539999999999992,363.22,2.539999999999992,383.53999999999996,3,49,-5,9,0.21000000000000002,0.8500000000000001,0.14,1.3399999999999999,0.896551724137931,0.7419354838709677,0.1546162402669633,1,0,1,0,0,0,0,0,1,0,0,0,0,6,2004
2004-06-19,Evan Tanner,Phil Baroni,red,33.35,28.18,182.88,175.26,187.96,182.88,32,15,8,18,0.59,0.45,0.43,0.47,Orthodox,Orthodox,1,5.170000000000002,61.53,7.6200000000000045,358.14,5.0800000000000125,370.84000000000003,17,47,-10,26,0.13999999999999996,1.04,-0.03999999999999998,0.8999999999999999,0.7804878048780488,0.4411764705882353,0.3393113342898135,1,0,1,0,0,0,0,0,1,0,0,0,0,6,2004
2004-06-19,Frank Trigg,Dennis Hallman,red,32.12,28.55,175.26,175.26,180.34,182.88,21,53,9,20,0.46,0.44,0.47,0.3,Southpaw,Orthodox,1,3.5699999999999967,60.67,0.0,350.52,-2.539999999999992,363.22,-32,74,-11,29,0.020000000000000018,0.9,0.16999999999999998,0.77,0.6774193548387096,0.7162162162162162,-0.0387968613775066,0,0,0,0,1,0,0,0,1,0,0,0,0,6,2004
2004-06-19,Matt Hughes,Renato Verissimo,red,30.68,30.88,175.26,185.42,185.42,,45,7,9,5,0.53,0.48,0.5,0.3,Switch,Orthodox,1,-0.1999999999999993,61.56,-10.159999999999997,360.67999999999995,,,38,52,4,14,0.050000000000000044,1.01,0.2,0.8,0.8181818181818182,0.5384615384615384,0.2797202797202798,0,0,0,0,0,1,0,0,1,0,0,0,0,6,2004
2004-08-21,Karo Parisyan,Nick Diaz,red,21.98,21.05,177.8,185.42,182.88,193.04,24,26,11,10,0.41,0.42,0.59,0.32,Orthodox,Southpaw,1,0.9299999999999997,43.03,-7.619999999999976,363.22,-10.159999999999997,375.91999999999996,-2,50,1,21,-0.010000000000000009,0.83,0.26999999999999996,0.9099999999999999,0.6666666666666666,0.7027027027027027,-0.03603603603603611,0,0,1,0,0,0,0,0,0,0,1,0,0,8,2004
2004-08-21,Chris Lytle,Ronald Jhun,red,30.01,33.92,180.34,180.34,172.72,,31,24,18,26,0.45,0.57,0.55,1.0,Orthodox,Orthodox,1,-3.91,63.93000000000001,0.0,360.68,,,7,55,-8,44,-0.11999999999999994,1.02,-0.44999999999999996,1.55,0.62,0.47058823529411764,0.14941176470588236,1,0,1,0,0,0,0,0,1,0,0,0,0,8,2004
2004-08-21,Randy Couture,Vitor Belfort,red,41.17,27.39,185.42,182.88,190.5,187.96,19,26,11,14,0.57,0.46,0.46,0.6,Orthodox,Southpaw,1,13.780000000000001,68.56,2.539999999999992,368.29999999999995,2.539999999999992,378.46000000000004,-7,45,-3,25,0.10999999999999993,1.03,-0.13999999999999996,1.06,0.6129032258064516,0.6341463414634146,-0.02124311565696302,0,0,1,0,0,0,0,0,0,0,1,0,0,8,2004
